"Date","Close"
"2018-01-02",112.29
"2018-01-03",112.51
"2018-01-04",112.75
"2018-01-05",113.05
"2018-01-08",113.09
"2018-01-09",112.65
"2018-01-10",111.44
"2018-01-11",111.26
"2018-01-12",111.06
"2018-01-16",110.45
"2018-01-17",111.29
"2018-01-18",111.11
"2018-01-19",110.77
"2018-01-22",110.92
"2018-01-23",110.31
"2018-01-24",109.22
"2018-01-25",109.41
"2018-01-26",108.58
"2018-01-29",108.96
"2018-01-30",108.78
"2018-01-31",109.19
"2018-02-01",109.4
"2018-02-02",110.17
"2018-02-05",109.09
"2018-02-06",109.56
"2018-02-07",109.33
"2018-02-08",108.74
"2018-02-09",108.8
"2018-02-12",108.66
"2018-02-13",107.82
"2018-02-14",107.01
"2018-02-15",106.13
"2018-02-16",106.21
"2018-02-20",107.33
"2018-02-21",107.78
"2018-02-22",106.75
"2018-02-23",106.796
"2018-02-26",107.073
"2018-02-27",107.422
"2018-02-28",106.635
"2018-03-01",106.176
"2018-03-02",105.716
"2018-03-05",106.248
"2018-03-06",105.535
"2018-03-07",106.181
"2018-03-08",106.41
"2018-03-09",106.77
"2018-03-12",106.28
"2018-03-13",106.492
"2018-03-14",106.157
"2018-03-15",106.314
"2018-03-16",105.976
"2018-03-19",106.002
"2018-03-20",106.46
"2018-03-21",105.939
"2018-03-22",104.973
"2018-03-23",104.729
"2018-03-26",105.505
"2018-03-27",105.473
"2018-03-28",106.81
"2018-03-29",106.477
"2018-04-02",105.804
"2018-04-03",106.434
"2018-04-04",106.779
"2018-04-05",107.072
"2018-04-06",106.892
"2018-04-09",106.749
"2018-04-10",107.122
"2018-04-11",106.834
"2018-04-12",107.2
"2018-04-13",107.3204
"2018-04-16",107.047
"2018-04-17",107.013
"2018-04-18",107.339
"2018-04-19",107.44
"2018-04-20",107.647
"2018-04-23",108.77
"2018-04-24",108.8
"2018-04-25",109.36
"2018-04-26",109.309
"2018-04-27",109.033
"2018-04-30",109.314
"2018-05-01",109.86
"2018-05-02",109.825
"2018-05-03",109.1
"2018-05-04",109.101
"2018-05-07",108.939
"2018-05-08",109.025
"2018-05-09",109.853
"2018-05-10",109.448
"2018-05-11",109.38
"2018-05-14",109.713
"2018-05-15",110.299
"2018-05-16",110.368
"2018-05-17",110.833
"2018-05-18",110.776
"2018-05-21",110.98
"2018-05-22",110.729
"2018-05-23",109.887
"2018-05-24",109.317
"2018-05-25",109.425
"2018-05-29",108.393
"2018-05-30",108.711
"2018-05-31",108.753
"2018-06-01",109.518
"2018-06-04",109.96
"2018-06-05",109.877
"2018-06-06",110.137
"2018-06-07",109.704
"2018-06-08",109.515
"2018-06-11",110.382
"2018-06-12",110.452
"2018-06-13",110.247
"2018-06-14",110.642
"2018-06-15",110.635
"2018-06-18",110.122
"2018-06-19",110.074
"2018-06-20",110.359
"2018-06-21",109.962
"2018-06-22",109.855
"2018-06-25",109.642
"2018-06-26",110.112
"2018-06-27",110.222
"2018-06-28",110.489
"2018-06-29",110.67
"2018-07-02",110.87
"2018-07-03",110.442
"2018-07-05",110.562
"2018-07-06",110.464
"2018-07-09",110.959
"2018-07-10",110.844
"2018-07-11",111.956
"2018-07-12",112.66
"2018-07-13",112.33
"2018-07-16",112.385
"2018-07-17",113
"2018-07-18",112.81
"2018-07-19",112.35
"2018-07-20",111.416
"2018-07-23",111.464
"2018-07-24",111.235
"2018-07-25",110.86
"2018-07-26",111.148
"2018-07-27",111.021
"2018-07-30",110.9965
"2018-07-31",111.811
"2018-08-01",111.6225
"2018-08-02",111.6925
"2018-08-03",111.265
"2018-08-06",111.3375
"2018-08-07",111.344
"2018-08-08",110.904
"2018-08-09",111.0875
"2018-08-10",110.875
"2018-08-13",110.6765
"2018-08-14",111.2565
"2018-08-15",110.6345
"2018-08-16",111.001
"2018-08-17",110.505
"2018-08-20",109.986
"2018-08-21",110.1655
"2018-08-22",110.6131
"2018-08-23",111.3955
"2018-08-24",111.235
"2018-08-27",111.1405
"2018-08-28",111.165
"2018-08-29",111.7145
"2018-08-30",111.004
"2018-08-31",111.0404
"2018-09-04",111.4635
"2018-09-05",111.4515
"2018-09-06",110.4975
"2018-09-07",111.005
"2018-09-10",111.1515
"2018-09-11",111.6095
"2018-09-12",111.223
"2018-09-13",112.036
"2018-09-14",112.055
"2018-09-17",111.751
"2018-09-18",112.3445
"2018-09-19",112.278
"2018-09-20",112.475
"2018-09-21",112.565
"2018-09-24",112.8055
"2018-09-25",112.9801
"2018-09-26",112.732
"2018-09-27",113.3885
"2018-09-28",113.688
"2018-10-01",113.996
"2018-10-02",113.6525
"2018-10-03",114.441
"2018-10-04",113.899
"2018-10-05",113.725
"2018-10-08",113.161
"2018-10-09",113.005
"2018-10-10",112.2315
"2018-10-11",112.0745
"2018-10-12",112.213
"2018-10-15",111.7702
"2018-10-16",112.306
"2018-10-17",112.6195
"2018-10-18",112.1965
"2018-10-19",112.5504
"2018-10-22",112.8203
"2018-10-23",112.3905
"2018-10-24",112.0755
"2018-10-25",112.368
"2018-10-26",111.897
"2018-10-29",112.3525
"2018-10-30",113.092
"2018-10-31",112.945
"2018-11-01",112.604
"2018-11-02",113.205
"2018-11-05",113.198
"2018-11-06",113.423
"2018-11-07",113.5185
"2018-11-08",114.038
"2018-11-09",113.8304
"2018-11-12",113.807
"2018-11-13",113.8215
"2018-11-14",113.598
"2018-11-15",113.554
"2018-11-16",112.835
"2018-11-19",112.4955
"2018-11-20",112.732
"2018-11-21",113.102
"2018-11-23",112.9504
"2018-11-26",113.567
"2018-11-27",113.753
"2018-11-28",113.622
"2018-11-29",113.432
"2018-11-30",113.508
"2018-12-03",113.6297
"2018-12-04",112.77
"2018-12-06",112.727
"2018-12-07",112.733
"2018-12-10",113.263
"2018-12-11",113.381
"2018-12-12",113.2785
"2018-12-13",113.608
"2018-12-14",113.436
"2018-12-17",112.826
"2018-12-18",112.485
"2018-12-19",112.422
"2018-12-20",111.286
"2018-12-21",111.235
"2018-12-24",110.442
"2018-12-26",111.3098
"2018-12-27",110.9501
"2018-12-28",110.275
"2018-12-31",109.655
